Name,Sum,S_M,S_F,Household,H_M,H_F,0-14,15-64,65+,Local
东风路街道,45324,23670,21654,12651,21458,20567,10093,32736,2495,30261
广惠街街道,30675,16293,14382,5414,10998,10604,5146,23850,1679,20122
韩寺镇,35192,18342,16850,8697,18338,16849,8712,24097,2383,34431
官渡镇,52311,26557,25754,13699,26537,25742,13112,35131,4068,51218
狼城岗镇,37998,19350,18648,9062,19346,18647,9286,25713,2999,36835
万滩镇,26266,13571,12695,6372,13567,12692,6185,17908,2173,25959
白沙镇,42701,22302,20399,9985,20723,19829,10282,29218,3201,38205
郑庵镇,32314,16519,15795,8470,16478,15789,7884,21432,2998,31187
张庄镇,31052,16036,15016,7652,16000,15005,7343,20838,2871,30687
黄店镇,36443,18637,17806,9512,18637,17806,8485,24374,3584,36202
大孟镇,46670,23975,22695,11453,23945,22689,11550,31208,3912,45748
九龙镇,31760,16590,15170,7872,16211,15066,7927,20962,2871,29972
刘集镇,40615,21038,19577,9819,20797,19512,9983,27365,3267,39865
八岗镇,27563,14322,13241,6689,14322,13241,6401,18463,2699,27069
雁鸣湖镇,23428,12139,11289,5489,12129,11284,5471,15936,2021,22803
三官庙镇,53651,27185,26466,13698,27119,26446,12525,35477,5649,52956
刁家乡,32340,16491,15849,8172,16486,15809,8305,21018,3017,31597
姚家镇,30858,16193,14665,7640,16184,14663,7085,21078,2695,30236
巩义市,807911,411355,396556,209263,382045,377770,123683,612716,71512,691103
新华路街道,50973,25337,25636,15644,24147,24697,8156,39650,3167,35371
杜甫路街道,57120,28555,28565,15802,26640,26947,8890,44867,3363,41295
永安路街道,2650,1358,1292,700,1358,1292,515,1883,252,2387
孝义街道,43029,21828,21201,10841,19240,19419,5706,33947,3376,34260
紫荆路街道,26742,12746,13996,5064,8679,9039,2864,22655,1223,14063
米河镇,45595,23012,22583,12946,22637,22211,6934,34233,4428,43005
新中镇,17395,8942,8453,5709,8617,8394,2623,12633,2139,16725
小关镇,31814,15897,15917,9506,15127,15160,4619,23818,3377,29042
竹林镇,10441,5178,5263,3024,5096,5233,1645,7779,1017,9476
大峪沟镇,35735,19175,16560,10866,16791,16420,5362,26677,3696,30280
河洛镇,30493,15428,15065,9639,15003,14973,4357,22201,3935,28476
站街镇,22757,11329,11428,6545,10844,10992,2972,17456,2329,20819
康店镇,43618,22035,21583,11539,21807,21511,6284,32319,5015,41893
北山口镇,36499,18476,18023,8609,16273,16339,5910,27478,3111,30703
西村镇,58470,29835,28635,14311,28302,27972,9953,43139,5378,55175
芝田镇,46904,23775,23129,11434,23489,22733,7740,35027,4137,44454
回郭镇,113810,60028,53782,21744,51737,49667,15776,88954,9080,87728
鲁庄镇,64108,32777,31331,15912,32396,31114,11146,46677,6285,62386
夹津口镇,24720,12882,11838,6506,11860,11766,4286,18213,2221,21612
涉村镇,36463,18429,18034,10708,18294,17960,6911,26202,3350,34958
豫联工业园区管理委员会,8575,4333,4242,2214,3708,3931,1034,6908,633,6995
荥阳市,613804,310697,303107,170820,299191,294451,99131,459463,55210,528584
索河街道,56972,28413,28559,17020,26763,26761,9445,43695,3832,31695
京城路街道,86503,43607,42896,26187,40472,40608,15381,66582,4540,48136
乔楼镇,39526,20111,19415,10316,18456,17922,5860,29976,3690,35124
豫龙镇,51785,26472,25313,11998,22902,22758,8385,39112,4288,44968
广武镇,86531,43431,43100,21699,43310,43078,14374,64992,7165,85706
王村镇,47888,24077,23811,13962,24016,23805,6642,35872,5374,46973
汜水镇,19698,9692,10006,6046,9627,9948,2777,14337,2584,19227
高山镇,23841,11987,11854,7564,11983,11849,3093,17449,3299,23313
刘河镇,20893,10662,10231,6381,10644,10211,3025,15262,2606,20294
崔庙镇,44191,22925,21266,12243,22104,21004,7332,32402,4457,42550
贾峪镇,49070,25428,23642,13023,25239,23550,9904,34690,4476,46619
城关乡,37870,19160,18710,10092,18958,18657,5677,28749,3444,35972
高村乡,44004,22219,21785,12925,22206,21781,6218,32842,4944,43176
金寨回族乡,5032,2513,2519,1364,2511,2519,1018,3503,511,4831
新密市,797256,410906,386350,209086,389529,374479,143800,588750,64706,683704
青屏街街道,98118,49483,48635,29618,46590,45741,19129,75280,3709,50539
新华路街道,50703,27556,23147,14200,22788,21926,8006,39887,2810,30697
西大街街道,24438,12515,11923,4588,8934,8865,3227,19901,1310,17273
城关镇,31317,16212,15105,7513,14726,13834,4652,24096,2569,25836
